"Table for differential expressed proteins. The raw data of proteomics reported in this figure part have been deposited in the OMIX, China National Center for Bioinformation (OMIX010468, https://ngdc.cncb.ac.cn/omix/release/OMIX010468)."						
The analysis and visualization of proteomics data were performed on the PTM BioCloud platform (http://www.ptmbiolab.com).						
No.	Protein accession	Protein description	Gene name	MW [kDa]	XOS500/CON Ratio	"XOS500/CON 
p value"
171	F1RQI1	Uncharacterized protein OS=Sus scrofa OX=9823 GN=COX7A2 PE=4 SV=2	COX7A2	12.8	0.748	0.0940
172	F1SS64	Myosin-2 OS=Sus scrofa OX=9823 GN=MYH2 PE=3 SV=2	MYH2	223.9	1.425	0.0942
173	A0A5G2RAM8	Histone deacetylase 1 OS=Sus scrofa OX=9823 GN=HDAC1 PE=1 SV=1	HDAC1	54.3	0.790	0.0945
174	I3LQD0	Uncharacterized protein OS=Sus scrofa OX=9823 GN=CALML4 PE=1 SV=1	CALML4	17.8	1.498	0.0952
175	Q29036	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 OS=Sus scrofa OX=9823 GN=DAD1 PE=3 SV=3	DAD1	12.5	0.793	0.0954
176	A0A287ACK8	Erythrocyte membrane protein band 4.1 like 2 OS=Sus scrofa OX=9823 GN=EPB41L2 PE=1 SV=1	EPB41L2	115.6	1.548	0.0954
177	K7GQ00	Fragile X mental retardation 1 OS=Sus scrofa OX=9823 GN=FMR1 PE=1 SV=2	FMR1	68.8	0.780	0.0955
178	A0A5K1UZ28	Peptide YY OS=Sus scrofa OX=9823 GN=PYY PE=1 SV=1	PYY	19.4	2.087	0.0957
179	A0A287AP37	ADP ribosylation factor related protein 1 OS=Sus scrofa OX=9823 GN=ARFRP1 PE=1 SV=1	ARFRP1	22.7	0.697	0.0962
180	A0A287AMV5	Polyribonucleotide nucleotidyltransferase 1 OS=Sus scrofa OX=9823 GN=PNPT1 PE=1 SV=1	PNPT1	86.0	0.812	0.0962
181	A0A287AZ33	Uncharacterized protein OS=Sus scrofa OX=9823 GN=WIZ PE=4 SV=2	WIZ	203.4	0.816	0.0977
182	F1SI72	tRNA wybutosine-synthesizing protein 5 OS=Sus scrofa OX=9823 GN=TYW5 PE=4 SV=1	TYW5	36.6	1.311	0.0981
183	A0A287B4R8	Acyl-CoA synthetase short chain family member 3 OS=Sus scrofa OX=9823 GN=ACSS3 PE=1 SV=1	ACSS3	71.9	1.435	0.0989
184	F1RFD6	TBC1 domain family member 10A OS=Sus scrofa OX=9823 GN=TBC1D10A PE=1 SV=3	TBC1D10A	60.3	0.783	0.0991
185	A0A287AM05	Translocase of inner mitochondrial membrane 44 OS=Sus scrofa OX=9823 GN=TIMM44 PE=1 SV=2	TIMM44	46.8	0.831	0.0253
186	F2Z5F2	Uncharacterized protein OS=Sus scrofa OX=9823 GN=RAB10 PE=1 SV=1	RAB10	22.5	0.833	0.0993
187	F1SKE2	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Sus scrofa OX=9823 GN=PLOD2 PE=1 SV=4"	PLOD2	87.5	0.830	0.0990
188	A0A286ZLI2	Tyrosine-protein kinase OS=Sus scrofa OX=9823 GN=JAK1 PE=1 SV=1	JAK1	133.0	0.832	0.0507
